1,The Alchemist,1,6,0,100,1,1,0
2,Im Bann des Magiers,1,7,0,50,1,1,0
3,Die Gully Detektive,1,7,0,20,1,1,0
4,Crocs Tie Dye Clog,2,23,0,50,1,1,0
5,Carhartt Boot,2,36,0,50,1,1,0
6,Reef Phantoms Sandal,2,5,0,100,1,1,0
7,Skechers Chukka Boot,3,29,0,70,1,1,0
8,Jessica Prizma Pump,3,13,0,100,1,1,0
9,SPIGA Leesa,3,21,0,30,1,1,0
10,Badgley Pump,3,35,0,30,1,1,0
11,Adrianna Halter Gown,1,52,0,30,1,1,0
12,Calvin Klein Dress,1,17,0,100,1,1,0
13,Relipop Short Dresses,1,12,0,50,1,1,0
14,Essentials Surplice Dress,1,14,0,50,1,1,0
15,Legendary Shirt,2,28,0,100,1,1,0
16,Hanes Ultimate Tee,2,12,0,200,1,1,0
17, Slim-Fit Shirt,2,10,0,100,1,1,0
18,Billabong Tank Top,2,8,0,100,1,1,0
19,Ascender Jacket,2,16,0,50,1,1,0
20,Hoodies Fleece,2,37,0,100,1,1,0
21,Swarovski Earrings,3,42,0,70,1,1,0
22,Betsey Heart Necklace,3,20,0,50,1,1,0
23, Fleece Pocket Pant,3,20,0,120,1,1,0
24,Dickies Original Pant,3,35,0,250,1,1,0
25,Wrangler Short,3,29,0,300,1,1,0
26,Kanu Swim Trunks,3,18,0,210,1,1,0
27,Roxy Oceanside Pant,1,7,0,100,1,1,0
28,Casual Loose Leg Pants,1,8,0,100,1,1,0
29,Vintage Liner Socks,1,6,0,350,1,1,0
30,Bamboo Mesh Socks,1,1,0,1200,1,1,0
31,Samsung Galaxy White,1,727,0,250,1,1,0
32,Xiaomi Redmi Global,2,199,0,150,1,1,0
33,OnePlus 8 5G UW,2,625,0,50,1,1,0
34,Apple AirPods Pro,2,312,0,600,1,1,0
35,TOZO Wireless Earbuds,2,56,0,400,1,1,0
36,Sony Stereo Headphones,2,14,0,300,1,1,0
37,Vitamin C +,2,17,0,700,1,1,0
38,Listerine Mouthwash,3,19,0,1000,1,1,0
39,Cetaphil Cleanser,3,14,0,1000,1,1,0
40,Lenovo IdeaPad 3,3,955,0,300,1,1,0
41, HP Touchscreen Laptop,3,1127,0,200,1,1,0
42,Acrylic Paint,3,16,0,300,1,1,0
43,Maybelline Lipstick,3,22,0,600,1,1,0
44,NYX Makeup Eyebrow,1,11,0,200,1,1,0
45,Poreless Putty Primer,1,12,0,420,1,1,0
46,Mueller Hand Blender,1,30,0,100,1,1,0
47,Magic Bullet Blender,1,30,0,200,1,1,0
48,Aroma Rice Cooker,1,38,0,50,1,1,0
49,Buffalo Rice Cooker,1,129,0,20,1,1,0
50,Pana Microwave Oven,1,109,0,65,1,1,0
51,WINIA Microwave Oven,1,68,0,100,1,1,0
52,PAUDIN Kitchen Knife,1,28,0,100,1,1,0
53,Global Vegetable Knife,1,89,0,100,1,1,0
54,BGT Cutting Board,1,20,0,60,1,1,0
55,Cutting Board Set,1,17,0,80,1,1,0
56,iBayam Kitchen Scissors,1,12,0,200,1,1,0
57,Gibson Dinnerware Set,2,50,0,30,1,1,0
